TIMESTAMP    TEMP  ARM_FREQ
843          40.0       600
844          40.0       600
845          39.0       600
846          39.0       600
847          39.0       600
848          39.0       600
849          38.0       600
850          39.0       600
851          38.0       600
852          38.0       600
853          39.0       600
854          39.0       600
855          38.0       600
856          39.0       600
857          38.0       600
858          38.0       600
859          36.0       600
860          38.0       600
861          38.0       600
862          38.0       600
863          38.0       600
864          37.0       600
865          36.0       600
866          37.0       600
867          37.0       600
868          37.0       600
869          37.0       600
870          36.0       600
871          37.0       600
872          36.0       600
873          37.0       600
874          37.0       600
875          38.0       600
876          37.0       600
877          37.0       600
878          37.0       600
879          37.0       600
880          37.0       600
881          38.0       600
882          36.0       600
883          36.0       600
884          36.0       600
885          37.0       600
886          37.0       600
887          37.0       600
888          36.0       600
889          37.0       600
890          36.0       600
891          36.0       600
892          37.0       600
893          37.0       600
894          38.0       600
895          36.0       600
896          36.0       600
897          36.0       600
898          35.0       600
899          36.0       600
900          37.0       600
901          35.0       600
902          37.0       600
903          36.0       600
904          36.0       600
905          35.0       600
906          36.0       600
907          36.0       600
908          37.0       600
909          36.0       600
910          36.0       600
911          36.0       600
912          37.0       600
913          36.0       600
914          35.0       600
915          36.0       600
916          36.0       600
917          36.0       600
918          36.0       600
919          35.0       600
920          36.0       600
921          36.0       600
922          36.0       600
923          35.0       600
924          36.0       600
925          35.0       600
926          35.0       600
927          36.0       600
928          36.0       600
929          35.0       600
930          35.0       600
931          35.0       600
932          35.0       600
933          35.0       600
934          35.0       600
935          36.0       600
936          35.0       600
937          35.0       600
938          35.0       600
939          35.0       600
940          36.0       600
941          35.0       600
942          35.0       600
943          35.0       600
944          36.0       600
945          35.0       600
946          35.0       600
947          35.0       600
948          35.0       600
949          35.0       600
950          35.0       600
951          36.0       600
952          35.0       600
953          35.0       600
954          36.0       600
955          35.0       600
956          36.0       600
957          35.0       600
958          35.0       600
959          36.0       600
960          36.0       600
961          35.0       600
962          35.0       600
963          35.0       600
964          35.0       600
965          35.0       600
966          35.0       600
967          36.0       600
968          35.0       600
969          34.0       600
970          35.0       600
971          35.0       600
972          35.0       600
